# newBeatmap Beatmap
# spawnTime,laneIndex
0.832,0
0.8746667,1
0.896,2
1.408,1
1.898667,0
2.496,2
3.050667,1
3.434667,0
3.669333,1
4.266667,0
4.821333,1
5.397333,0
6.016,2
6.613333,1
7.232,0
7.808,1
8.192,2
8.405334,0
8.981334,1
9.536,2
10.13333,1
10.752,0
11.34933,2
11.92533,2
11.92533,0
12.52267,1
13.09867,0
13.12,2
13.73867,1
14.37867,2
14.89067,1
15.50933,0
16.04267,1
16.64,2
17.19467,1
17.81333,0
19.52,2
19.62667,1
19.968,0
20.16,1
20.736,0
21.312,2
21.888,1
22.29333,0
22.528,2
23.08267,1
23.68,0
24.192,2
24.32,1
24.68267,0
24.91733,1
25.45067,0
26.00533,2
26.58133,1
26.98667,0
27.24267,2
27.79733,2
28.416,1
28.992,2
29.61067,1
30.208,0
30.76267,2
31.38133,1
31.936,2
32.512,1
33.13066,0
33.68533,1
34.26133,2
34.83733,1
35.43467,0
36.032,2
36.65067,1
37.22667,0
37.80267,1
39.14667,2
39.53067,1
40.14933,2
40.72533,1
41.32267,2
41.87733,1
42.496,2
43.072,0
43.66933,2
44.24533,1
44.864,2
45.41867,0
46.016,2
46.61333,1
47.21067,0
47.808,1
48.384,0
48.96,1
49.6,2
50.176,1
50.77333,2
51.34933,1
51.94667,0
52.544,1
53.14133,2
53.67467,1
54.272,2
54.86934,1
55.44533,0
57.856,2
58.34667,1
58.90133,2
58.98667,1
59.136,0
59.584,1
60.224,2
60.352,1
60.50134,0
60.69333,2
60.84267,1
60.992,0
61.248,1
61.90933,0
62.528,2
62.72,1
62.912,0
63.06133,2
63.232,1
63.40267,0
63.616,1
64.29867,0
64.93867,2
65.472,1
66.00533,0
66.60267,1
67.24267,2
67.41333,1
67.56267,0
67.776,2
67.968,1
68.096,0
68.288,2
68.928,1
69.54667,2
69.71733,1
69.888,0
70.12267,2
70.272,1
70.44267,0
70.656,1
70.784,2
71.296,1
71.936,2
72.512,1
73.088,0
73.62133,1
74.24,2
74.47467,1
74.64533,0
74.83733,2
75.02934,1
75.2,0
75.392,2
75.98933,1
76.608,0
77.20533,1
77.824,0
78.99733,2
79.57333,1
80.17067,0
80.704,2
81.10934,1
81.30133,0
